year,quarter_label,state,average_price_rm,property_type,source_file,quarter
2009,Q4,Johor,406585.79,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Johor,125652.21,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Kedah,125802.84,All houses,all_houses_by_state.xlsx,4
2009,Q4,Kedah,242971.71,Detached house,detached_by_state.xlsx,4
2009,Q4,Kedah,175608.64,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Kedah,98074.57,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Kelantan,110911.95842213114,All houses,all_houses_by_state.xlsx,4
2009,Q4,Kelantan,92480.0,Detached house,detached_by_state.xlsx,4
2009,Q4,Kelantan,181410.76762102757,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Kelantan,117508.05,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Kuala Lumpur,377405.99,All houses,all_houses_by_state.xlsx,4
2009,Q4,Kuala Lumpur,2086672.76,Detached house,detached_by_state.xlsx,4
2009,Q4,Kuala Lumpur,1322111.55,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Kuala Lumpur,369806.67,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Melaka,106226.38,All houses,all_houses_by_state.xlsx,4
2009,Q4,Melaka,176596.18,Detached house,detached_by_state.xlsx,4
2009,Q4,Melaka,261407.28,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Melaka,88931.06,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Negeri Sembilan,129027.2,All houses,all_houses_by_state.xlsx,4
2009,Q4,Negeri Sembilan,245124.36,Detached house,detached_by_state.xlsx,4
2009,Q4,Negeri Sembilan,198338.45,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Negeri Sembilan,106248.77,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Pahang,134332.21,All houses,all_houses_by_state.xlsx,4
2009,Q4,Pahang,146692.06,Detached house,detached_by_state.xlsx,4
2009,Q4,Pahang,199286.66,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Pahang,122337.85,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Penang,223494.07,All houses,all_houses_by_state.xlsx,4
2009,Q4,Penang,363976.41,Detached house,detached_by_state.xlsx,4
2009,Q4,Penang,325480.24,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Penang,261950.89,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Perak,112737.24,All houses,all_houses_by_state.xlsx,4
2009,Q4,Perak,113648.99,Detached house,detached_by_state.xlsx,4
2009,Q4,Perak,192038.55,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Perak,102311.32,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Perlis,112204.49,All houses,all_houses_by_state.xlsx,4
2009,Q4,Perlis,210852.06,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Perlis,90713.41,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Sabah,238697.77,All houses,all_houses_by_state.xlsx,4
2009,Q4,Sabah,366122.2623188406,Detached house,detached_by_state.xlsx,4
2009,Q4,Sabah,395491.08550842403,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Sabah,237169.41,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Sarawak,246710.08,All houses,all_houses_by_state.xlsx,4
2009,Q4,Sarawak,308291.45,Detached house,detached_by_state.xlsx,4
2009,Q4,Sarawak,296338.97,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Sarawak,197268.33,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Selangor,233221.13,All houses,all_houses_by_state.xlsx,4
2009,Q4,Selangor,484311.21,Detached house,detached_by_state.xlsx,4
2009,Q4,Selangor,568779.33,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Selangor,230847.42,Terraced house,terraced_by_state.xlsx,4
2009,Q4,Terengganu,153033.2581411531,All houses,all_houses_by_state.xlsx,4
2009,Q4,Terengganu,178853.85,Detached house,detached_by_state.xlsx,4
2009,Q4,Terengganu,187722.09,Semi-detached house,semi_detached_by_state.xlsx,4
2009,Q4,Terengganu,107030.48,Terraced house,terraced_by_state.xlsx,4
2010,Q1,Johor,161790.7880392017,All houses,all_houses_by_state.xlsx,1
2010,Q1,Johor,197373.12,Detached house,detached_by_state.xlsx,1
2010,Q1,Johor,418163.43,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Johor,127927.6,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Kedah,126812.8,All houses,all_houses_by_state.xlsx,1
2010,Q1,Kedah,226728.88,Detached house,detached_by_state.xlsx,1
2010,Q1,Kedah,177304.22,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Kedah,100182.5,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Kelantan,111713.18,All houses,all_houses_by_state.xlsx,1
2010,Q1,Kelantan,98008.89,Detached house,detached_by_state.xlsx,1
2010,Q1,Kelantan,185694.23820301736,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Kelantan,115352.3,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Kuala Lumpur,379440.7,All houses,all_houses_by_state.xlsx,1
2010,Q1,Kuala Lumpur,2226659.9,Detached house,detached_by_state.xlsx,1
2010,Q1,Kuala Lumpur,1460859.83,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Kuala Lumpur,354520.57,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Melaka,104875.66,All houses,all_houses_by_state.xlsx,1
2010,Q1,Melaka,181257.32,Detached house,detached_by_state.xlsx,1
2010,Q1,Melaka,263426.85,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Melaka,87101.97,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Negeri Sembilan,132265.92,All houses,all_houses_by_state.xlsx,1
2010,Q1,Negeri Sembilan,247659.31,Detached house,detached_by_state.xlsx,1
2010,Q1,Negeri Sembilan,213366.87,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Negeri Sembilan,108151.55,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Pahang,132844.15,All houses,all_houses_by_state.xlsx,1
2010,Q1,Pahang,125688.51,Detached house,detached_by_state.xlsx,1
2010,Q1,Pahang,205833.58,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Pahang,124739.94,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Penang,223213.8,All houses,all_houses_by_state.xlsx,1
2010,Q1,Penang,354271.6491866028,Detached house,detached_by_state.xlsx,1
2010,Q1,Penang,338002.46,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Penang,261707.98,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Perak,112127.12,All houses,all_houses_by_state.xlsx,1
2010,Q1,Perak,112590.18,Detached house,detached_by_state.xlsx,1
2010,Q1,Perak,196586.08,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Perak,101128.18,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Perlis,108613.17,All houses,all_houses_by_state.xlsx,1
2010,Q1,Perlis,216472.28560292325,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Perlis,86340.0,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Sabah,247677.28,All houses,all_houses_by_state.xlsx,1
2010,Q1,Sabah,419820.4875932842,Detached house,detached_by_state.xlsx,1
2010,Q1,Sabah,401676.54,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Sabah,250037.97,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Sarawak,244294.68,All houses,all_houses_by_state.xlsx,1
2010,Q1,Sarawak,284173.75,Detached house,detached_by_state.xlsx,1
2010,Q1,Sarawak,308951.3,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Sarawak,190388.34,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Selangor,234172.04,All houses,all_houses_by_state.xlsx,1
2010,Q1,Selangor,470873.28,Detached house,detached_by_state.xlsx,1
2010,Q1,Selangor,577548.2,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Selangor,233516.33,Terraced house,terraced_by_state.xlsx,1
2010,Q1,Terengganu,158549.39,All houses,all_houses_by_state.xlsx,1
2010,Q1,Terengganu,196186.15,Detached house,detached_by_state.xlsx,1
2010,Q1,Terengganu,195404.75,Semi-detached house,semi_detached_by_state.xlsx,1
2010,Q1,Terengganu,105609.34,Terraced house,terraced_by_state.xlsx,1
2010,Q2,Johor,159175.98742442674,All houses,all_houses_by_state.xlsx,2
2010,Q2,Johor,191706.36,Detached house,detached_by_state.xlsx,2
2010,Q2,Johor,389466.51,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Johor,144630.24,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Kedah,130106.13,All houses,all_houses_by_state.xlsx,2
2010,Q2,Kedah,232254.71474385052,Detached house,detached_by_state.xlsx,2
2010,Q2,Kedah,177370.87,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Kedah,103963.23,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Kelantan,106025.69,All houses,all_houses_by_state.xlsx,2
2010,Q2,Kelantan,89519.74,Detached house,detached_by_state.xlsx,2
2010,Q2,Kelantan,184305.0045007504,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Kelantan,112098.23,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Kuala Lumpur,394927.92,All houses,all_houses_by_state.xlsx,2
2010,Q2,Kuala Lumpur,2054714.35,Detached house,detached_by_state.xlsx,2
2010,Q2,Kuala Lumpur,1442877.43,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Kuala Lumpur,393729.91,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Melaka,108888.08,All houses,all_houses_by_state.xlsx,2
2010,Q2,Melaka,173727.4,Detached house,detached_by_state.xlsx,2
2010,Q2,Melaka,259329.24,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Melaka,91774.21,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Negeri Sembilan,133205.6,All houses,all_houses_by_state.xlsx,2
2010,Q2,Negeri Sembilan,255656.75,Detached house,detached_by_state.xlsx,2
2010,Q2,Negeri Sembilan,210074.55,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Negeri Sembilan,108821.06,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Pahang,135645.31,All houses,all_houses_by_state.xlsx,2
2010,Q2,Pahang,115479.0,Detached house,detached_by_state.xlsx,2
2010,Q2,Pahang,210285.714778672,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Pahang,129888.82,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Penang,226475.17,All houses,all_houses_by_state.xlsx,2
2010,Q2,Penang,411068.70717243094,Detached house,detached_by_state.xlsx,2
2010,Q2,Penang,319000.91,Semi-detached house,semi_detached_by_state.xlsx,2
2010,Q2,Penang,271364.0,Terraced house,terraced_by_state.xlsx,2
2010,Q2,Perak,113568.44,All houses,all_houses_by_state.xlsx,2
2010,Q2,Perak,115307.34818186231,Detached house,detached_by_state.xlsx,2
2010,Q2,Perak,195052.93,Semi-detached house,semi_detached_by_state.xlsx,2
